mensagem,categoria
"Qual é o preço do produto X?","pergunta_produto"
"Vocês entregam na minha cidade?","pergunta_produto"
"Tem desconto se eu comprar mais de um?","pergunta_produto"
"Oi, bom dia!","mensagem_generica"
"Muito obrigado pelo atendimento","mensagem_generica"
"Boa noite, tudo bem?","mensagem_generica"
"Esse produto está disponível na cor azul?","pergunta_produto"
"Qual o prazo de entrega?","pergunta_produto"
"Gostei do produto, parabéns","mensagem_generica"
"Vocês aceitam cartão de crédito?","pergunta_produto"
"Quanto custa o frete para SP?","pergunta_produto"
"Vocês trabalham com encomendas personalizadas?","pergunta_produto"
"Adorei a qualidade do produto","mensagem_generica"
"Parabéns pelo serviço","mensagem_generica"
"O produto vem com garantia?","pergunta_produto"
"Vocês têm loja física?","pergunta_produto"
"Bom dia, tudo certo por aí?","mensagem_generica"
"Esse modelo está disponível em estoque?","pergunta_produto"
"Posso pagar via Pix?","pergunta_produto"
"Foi ótimo comprar com vocês","mensagem_generica"
